,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
218,AAL2748.SEA.DFW.230221.1330.0178.TFM,KSEA,KDFW,2023-02-22 17:10:00,2023-02-22 17:19:00,AAL
219,AAL2717.LAX.DFW.230221.1800.0197.TFM,KLAX,KDFW,2023-02-22 20:42:00,2023-02-22 21:01:00,AAL
220,AAL2394.DFW.SEA.230222.0300.0144.TFM,KDFW,KSEA,2023-02-23 07:18:00,2023-02-23 07:22:00,AAL
221,AAL536.EWR.DFW.230221.1000.0036.TFM,KEWR,KDFW,2023-02-22 14:12:00,2023-02-22 14:09:00,AAL
222,AAL428.LGA.DFW.230221.1230.0206.TFM,KLGA,KDFW,2023-02-22 16:44:00,2023-02-22 16:51:00,AAL
223,AAL179.JFK.SFO.230221.1330.0174.TFM,KJFK,KSFO,2023-02-22 20:04:00,2023-02-22 20:39:00,AAL
224,AAL2387.EWR.DFW.230221.2040.0129.TFM,KEWR,KDFW,2023-02-23 01:46:00,2023-02-23 00:46:00,AAL
225,AAL1393.ATL.LAX.230221.2200.0274.TFM,KATL,KLAX,2023-02-23 03:28:00,2023-02-23 03:11:00,AAL
226,AAL2254.DFW.LAX.230222.0240.0047.TFM,KDFW,KLAX,2023-02-23 06:03:00,2023-02-23 06:05:00,AAL
227,AAL1839.DCA.DFW.230221.1200.0409.TFM,KDCA,KDFW,2023-02-22 15:54:00,2023-02-22 15:37:00,AAL
228,AAL2697.DFW.LAX.230222.0330.0050.TFM,KDFW,KLAX,2023-02-23 07:04:00,2023-02-23 06:54:00,AAL
229,AAL10.LAX.JFK.230221.0615.0032.TFM,KLAX,KJFK,2023-02-22 10:54:00,2023-02-22 11:35:00,AAL
230,AAL2453.LAX.BOS.230221.0600.0036.TFM,KLAX,KBOS,2023-02-22 11:09:00,2023-02-22 11:22:00,AAL
231,AAL1848.SFO.DFW.230221.1800.0186.TFM,KSFO,KDFW,2023-02-22 21:16:00,2023-02-22 21:26:00,AAL
232,AAL2708.DFW.LGA.230222.0035.0144.TFM,KDFW,KLGA,2023-02-23 07:20:00,2023-02-23 03:51:00,AAL
233,AAL1241.DFW.SEA.230222.0110.0100.TFM,KDFW,KSEA,2023-02-23 05:36:00,2023-02-23 05:38:00,AAL
234,AAL2142.BOS.DCA.230221.2130.0135.TFM,KBOS,KDCA,2023-02-22 23:16:00,2023-02-22 23:15:00,AAL
235,AAL28.LAX.JFK.230221.0700.0039.TFM,KLAX,KJFK,2023-02-22 11:56:00,2023-02-22 12:26:00,AAL
236,AAL2023.SFO.DFW.230221.2135.0108.TFM,KSFO,KDFW,2023-02-23 00:56:00,2023-02-23 01:03:00,AAL
237,AAL541.DFW.LGA.230221.1815.0123.TFM,KDFW,KLGA,2023-02-23 01:53:00,2023-02-22 21:29:00,AAL
238,AAL300.JFK.LAX.230222.0035.0164.TFM,KJFK,KLAX,2023-02-23 07:29:00,2023-02-23 07:03:00,AAL
239,AAL1347.BOS.DFW.230221.1500.0308.TFM,KBOS,KDFW,2023-02-22 19:16:00,2023-02-22 19:32:00,AAL
240,AAL1754.DFW.JFK.230221.2050.0183.TFM,KDFW,KJFK,2023-02-23 00:00:00,2023-02-23 00:15:00,AAL
241,AAL1024.SFO.DFW.230221.0800.0066.TFM,KSFO,KDFW,2023-02-22 11:13:00,2023-02-22 11:26:00,AAL
242,AAL1198.SFO.DFW.230221.1400.0203.TFM,KSFO,KDFW,2023-02-22 17:36:00,2023-02-22 17:28:00,AAL
243,AAL2142.DCA.BOS.230221.1915.0055.TFM,KDCA,KBOS,2023-02-22 20:35:00,2023-02-22 20:44:00,AAL
244,AAL2810.DFW.SFO.230222.0305.0040.TFM,KDFW,KSFO,2023-02-23 06:58:00,2023-02-23 07:02:00,AAL
245,AAL331.JFK.LAX.230221.1600.0251.TFM,KJFK,KLAX,2023-02-22 22:16:00,2023-02-22 22:25:00,AAL
246,AAL1660.DFW.BOS.230221.2310.0149.TFM,KDFW,KBOS,2023-02-23 03:10:00,2023-02-23 02:34:00,AAL
247,AAL2025.DCA.LGA.230221.1200.0373.TFM,KDCA,KLGA,2023-02-22 12:58:00,2023-02-22 13:16:00,AAL
248,AAL2403.ATL.DFW.230222.0115.0112.TFM,KATL,KDFW,2023-02-23 03:38:00,2023-02-23 03:44:00,AAL
249,AAL2907.DCA.DFW.230222.0000.0092.TFM,KDCA,KDFW,2023-02-23 03:35:00,2023-02-23 03:41:00,AAL
250,AAL2150.DCA.LGA.230222.0300.0138.TFM,KDCA,KLGA,2023-02-23 03:53:00,2023-02-23 04:11:00,AAL
251,AAL2009.DFW.SEA.230221.2300.0264.TFM,KDFW,KSEA,2023-02-23 03:00:00,2023-02-23 03:19:00,AAL
252,AAL483.LAX.DFW.230221.0800.0056.TFM,KLAX,KDFW,2023-02-22 10:40:00,2023-02-22 11:00:00,AAL
253,AAL2733.DFW.LAX.230221.0430.0033.TFM,KDFW,KLAX,2023-02-22 08:05:00,2023-02-22 07:55:00,AAL
254,AAL2723.LAX.DFW.230222.0030.0239.TFM,KLAX,KDFW,2023-02-23 03:07:00,2023-02-23 03:29:00,AAL
