gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier,arrival_stand_actual_time_tz,arrival_stand_scheduled_time_tz,arr_index,dep_index,arrival_delay_time,arrival_date,arrival_time,arrival_date_tz,arrival_time_tz,total_delay_by_airport
AAL2143.DCA.BOS.230228.2200.0273.TFM,KDCA,KBOS,2023-03-01 23:46:00,2023-03-01 23:31:00,AAL,2023-03-01 18:46:00,2023-03-01 18:31:00,1.0,3.0,0.0,2023-03-01,23:46:00,2023-03-01,18:46:00,99.0
AAL2717.DFW.LAX.230228.1200.0388.TFM,KDFW,KLAX,2023-03-01 15:29:00,2023-03-01 15:23:00,AAL,2023-03-01 10:29:00,2023-03-01 10:23:00,8.0,4.0,0.0,2023-03-01,15:29:00,2023-03-01,10:29:00,687.0
AAL2144.BOS.DCA.230228.2030.0051.TFM,KBOS,KDCA,2023-03-01 22:06:00,2023-03-01 22:13:00,AAL,2023-03-01 17:06:00,2023-03-01 17:13:00,3.0,1.0,0.0,2023-03-01,22:06:00,2023-03-01,17:06:00,254.0
AAL2246.JFK.DFW.230228.1955.0115.TFM,KJFK,KDFW,2023-03-02 00:06:00,2023-03-02 00:13:00,AAL,2023-03-01 19:06:00,2023-03-01 19:13:00,4.0,7.0,0.0,2023-03-02,00:06:00,2023-03-01,19:06:00,1034.0
AAL2748.SEA.DFW.230228.1330.0195.TFM,KSEA,KDFW,2023-03-01 17:07:00,2023-03-01 17:20:00,AAL,2023-03-01 12:07:00,2023-03-01 12:20:00,4.0,10.0,0.0,2023-03-01,17:07:00,2023-03-01,12:07:00,1034.0
AAL4.LAX.JFK.230228.1800.0203.TFM,KLAX,KJFK,2023-03-01 22:47:00,2023-03-01 23:25:00,AAL,2023-03-01 17:47:00,2023-03-01 18:25:00,7.0,8.0,0.0,2023-03-01,22:47:00,2023-03-01,17:47:00,94.0
AAL2169.DCA.BOS.230228.1400.0337.TFM,KDCA,KBOS,2023-03-01 15:44:00,2023-03-01 15:40:00,AAL,2023-03-01 10:44:00,2023-03-01 10:40:00,1.0,3.0,0.0,2023-03-01,15:44:00,2023-03-01,10:44:00,99.0
AAL2769.SEA.DFW.230228.2200.0307.TFM,KSEA,KDFW,2023-03-02 02:48:00,2023-03-02 01:49:00,AAL,2023-03-01 21:48:00,2023-03-01 20:49:00,4.0,10.0,59.0,2023-03-02,02:48:00,2023-03-01,21:48:00,1093.0
AAL2382.DFW.LGA.230228.2245.0126.TFM,KDFW,KLGA,2023-03-02 01:41:00,2023-03-02 02:00:00,AAL,2023-03-01 20:41:00,2023-03-01 21:00:00,9.0,4.0,0.0,2023-03-02,01:41:00,2023-03-01,20:41:00,97.0
AAL2119.DCA.LGA.230228.1715.0155.TFM,KDCA,KLGA,2023-03-01 18:03:00,2023-03-01 18:20:00,AAL,2023-03-01 13:03:00,2023-03-01 13:20:00,9.0,3.0,0.0,2023-03-01,18:03:00,2023-03-01,13:03:00,97.0
AAL1667.SEA.DFW.230228.1530.0061.TFM,KSEA,KDFW,2023-03-01 19:15:00,2023-03-01 19:20:00,AAL,2023-03-01 14:15:00,2023-03-01 14:20:00,4.0,10.0,0.0,2023-03-01,19:15:00,2023-03-01,14:15:00,1093.0
AAL3.JFK.LAX.230228.1530.0054.TFM,KJFK,KLAX,2023-03-01 22:07:00,2023-03-01 21:54:00,AAL,2023-03-01 17:07:00,2023-03-01 16:54:00,8.0,7.0,0.0,2023-03-01,22:07:00,2023-03-01,17:07:00,687.0
AAL2716.DFW.LGA.230228.2100.0251.TFM,KDFW,KLGA,2023-03-02 00:08:00,2023-03-02 00:15:00,AAL,2023-03-01 19:08:00,2023-03-01 19:15:00,9.0,4.0,0.0,2023-03-02,00:08:00,2023-03-01,19:08:00,97.0
AAL652.LGA.DFW.230228.1430.0160.TFM,KLGA,KDFW,2023-03-01 19:04:00,2023-03-01 18:40:00,AAL,2023-03-01 14:04:00,2023-03-01 13:40:00,4.0,9.0,24.0,2023-03-01,19:04:00,2023-03-01,14:04:00,1117.0
AAL1676.DCA.DFW.230228.1815.0064.TFM,KDCA,KDFW,2023-03-01 22:14:00,2023-03-01 21:49:00,AAL,2023-03-01 17:14:00,2023-03-01 16:49:00,4.0,3.0,25.0,2023-03-01,22:14:00,2023-03-01,17:14:00,1142.0
AAL1316.DFW.JFK.230301.2045.0152.TFM,KDFW,KJFK,2023-03-02 23:59:00,2023-03-03 00:15:00,AAL,2023-03-02 18:59:00,2023-03-02 19:15:00,7.0,4.0,0.0,2023-03-02,23:59:00,2023-03-02,18:59:00,
AAL446.DFW.SFO.230228.0445.0050.TFM,KDFW,KSFO,2023-03-01 08:37:00,2023-03-01 08:37:00,AAL,2023-03-01 03:37:00,2023-03-01 03:37:00,11.0,4.0,0.0,2023-03-01,08:37:00,2023-03-01,03:37:00,
AAL2810.DFW.SFO.230228.0305.0040.TFM,KDFW,KSFO,2023-03-01 09:02:00,2023-03-01 07:02:00,AAL,2023-03-01 04:02:00,2023-03-01 02:02:00,11.0,4.0,120.0,2023-03-01,09:02:00,2023-03-01,04:02:00,338.0
AAL483.LAX.DFW.230228.0800.0039.TFM,KLAX,KDFW,2023-03-01 10:37:00,2023-03-01 11:00:00,AAL,2023-03-01 05:37:00,2023-03-01 06:00:00,4.0,8.0,0.0,2023-03-01,10:37:00,2023-03-01,05:37:00,1142.0
AAL2798.DFW.SFO.230301.1445.0143.TFM,KDFW,KSFO,2023-03-02 18:22:00,2023-03-02 18:39:00,AAL,2023-03-02 13:22:00,2023-03-02 13:39:00,11.0,4.0,0.0,2023-03-02,18:22:00,2023-03-02,13:22:00,
AAL2717.DFW.LAX.230301.1200.0376.TFM,KDFW,KLAX,2023-03-02 15:43:00,2023-03-02 15:23:00,AAL,2023-03-02 10:43:00,2023-03-02 10:23:00,8.0,4.0,20.0,2023-03-02,15:43:00,2023-03-02,10:43:00,
AAL982.DFW.ATL.230301.1435.0115.TFM,KDFW,KATL,2023-03-02 16:30:00,2023-03-02 16:36:00,AAL,2023-03-02 11:30:00,2023-03-02 11:36:00,0.0,4.0,0.0,2023-03-02,16:30:00,2023-03-02,11:30:00,
AAL433.DFW.LAX.230301.2005.0153.TFM,KDFW,KLAX,2023-03-02 23:26:00,2023-03-02 23:23:00,AAL,2023-03-02 18:26:00,2023-03-02 18:23:00,8.0,4.0,0.0,2023-03-02,23:26:00,2023-03-02,18:26:00,
AAL2306.DFW.BOS.230301.2310.0142.TFM,KDFW,KBOS,2023-03-03 02:13:00,2023-03-03 02:38:00,AAL,2023-03-02 21:13:00,2023-03-02 21:38:00,1.0,4.0,0.0,2023-03-03,02:13:00,2023-03-02,21:13:00,
AAL2748.SEA.DFW.230301.1330.0129.TFM,KSEA,KDFW,2023-03-02 17:08:00,2023-03-02 17:20:00,AAL,2023-03-02 12:08:00,2023-03-02 12:20:00,4.0,10.0,0.0,2023-03-02,17:08:00,2023-03-02,12:08:00,
AAL1285.BOS.DFW.230301.1900.0223.TFM,KBOS,KDFW,2023-03-02 23:53:00,2023-03-02 23:40:00,AAL,2023-03-02 18:53:00,2023-03-02 18:40:00,4.0,1.0,0.0,2023-03-02,23:53:00,2023-03-02,18:53:00,
AAL451.LGA.DFW.230301.1855.0115.TFM,KLGA,KDFW,2023-03-02 23:50:00,2023-03-02 23:01:00,AAL,2023-03-02 18:50:00,2023-03-02 18:01:00,4.0,9.0,49.0,2023-03-02,23:50:00,2023-03-02,18:50:00,
AAL1088.LGA.DFW.230301.2200.0311.TFM,KLGA,KDFW,2023-03-03 04:28:00,2023-03-03 02:07:00,AAL,2023-03-02 23:28:00,2023-03-02 21:07:00,4.0,9.0,141.0,2023-03-03,04:28:00,2023-03-02,23:28:00,
AAL348.DFW.SNA.230301.0255.0041.TFM,KDFW,KLAX,2023-03-02 08:57:00,2023-03-02 06:17:00,AAL,2023-03-02 03:57:00,2023-03-02 01:17:00,8.0,4.0,160.0,2023-03-02,08:57:00,2023-03-02,03:57:00,847.0
AAL184.LAX.JFK.230301.2310.0154.TFM,KLAX,KJFK,2023-03-03 04:22:00,2023-03-03 04:32:00,AAL,2023-03-02 23:22:00,2023-03-02 23:32:00,7.0,8.0,0.0,2023-03-03,04:22:00,2023-03-02,23:22:00,
