,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
20,RPA3656.EWR.IAD.230222.2200.0135.TFM,KEWR,KIAD,2023-02-23 23:46:00,2023-02-23 23:20:00,RPA
21,RPA4368.JFK.BOS.230222.1800.0112.TFM,KJFK,KBOS,2023-02-23 19:03:00,2023-02-23 19:16:00,RPA
22,RPA4551.DCA.LGA.230222.1400.0059.TFM,KDCA,KLGA,2023-02-23 14:57:00,2023-02-23 15:23:00,RPA
23,RPA4302.BOS.JFK.230222.1859.0001.TFM_TFDM,KBOS,KJFK,2023-02-23 15:52:00,2023-02-23 14:30:00,RPA
24,RPA4393.JFK.BOS.230222.1340.0083.TFM,KJFK,KBOS,2023-02-23 15:28:00,2023-02-23 15:14:00,RPA
25,RPA4378.BOS.JFK.230222.2000.0136.TFM,KBOS,KJFK,2023-02-23 21:24:00,2023-02-23 21:19:00,RPA
26,RPA3601.ATL.EWR.230222.1450.0045.TFM,KATL,KEWR,2023-02-23 17:02:00,2023-02-23 17:06:00,RPA
27,RPA4490.ATL.LGA.230222.1105.0035.TFM,KATL,KLGA,2023-02-23 12:57:00,2023-02-23 13:15:00,RPA
28,RPA4560.JFK.DCA.230222.2045.0089.TFM,KJFK,KDCA,2023-02-23 22:01:00,2023-02-23 22:20:00,RPA
29,RPA4379.BOS.DCA.230222.1730.0027.TFM,KBOS,KDCA,2023-02-23 19:14:00,2023-02-23 19:22:00,RPA
30,RPA4472.ATL.LGA.230222.1705.0150.TFM,KATL,KLGA,2023-02-23 19:06:00,2023-02-23 19:16:00,RPA
31,RPA4668.DCA.JFK.230222.1840.0075.TFM,KDCA,KJFK,2023-02-23 20:06:00,2023-02-23 19:57:00,RPA
32,RPA4306.LGA.DCA.230222.1600.0192.TFM,KLGA,KDCA,2023-02-23 17:15:00,2023-02-23 17:43:00,RPA
33,RPA4360.BOS.JFK.230222.1640.0050.TFM,KBOS,KJFK,2023-02-23 18:17:00,2023-02-23 17:59:00,RPA
34,RPA3437.DCA.EWR.230222.1805.0037.TFM,KDCA,KEWR,2023-02-23 20:34:00,2023-02-23 19:31:00,RPA
