,gufi,departure_aerodrome_icao_name,arrival_aerodrome_icao_name,arrival_stand_actual_time,arrival_stand_scheduled_time,carrier
409,DAL629.ATL.BOS.230228.1930.0193.TFM,KATL,KBOS,2023-03-02 00:50:00,2023-03-01 21:59:00,DAL
410,AAL1597.LGA.DFW.230228.1050.0042.TFM,KLGA,KDFW,2023-03-01 14:42:00,2023-03-01 14:50:00,AAL
411,RPA4781.JFK.DCA.230301.0030.0124.TFM,KJFK,KDCA,2023-03-02 02:29:00,2023-03-02 02:29:00,RPA
412,DAL378.ATL.LGA.230228.1100.0154.TFM,KATL,KLGA,2023-03-01 13:25:00,2023-03-01 13:10:00,DAL
413,RPA4300.JFK.BOS.230301.0330.0134.TFM,KJFK,KBOS,2023-03-02 04:26:00,2023-03-02 04:42:00,RPA
414,DAL718.DFW.BOS.230228.1930.0162.TFM,KDFW,KBOS,2023-03-01 22:39:00,2023-03-01 23:03:00,DAL
415,AAL1490.LGA.DFW.230228.1315.0090.TFM,KLGA,KDFW,2023-03-01 17:40:00,2023-03-01 17:22:00,AAL
416,AAL341.JFK.LAX.230228.2030.0079.TFM,KJFK,KLAX,2023-03-02 03:50:00,2023-03-02 02:52:00,AAL
417,DAL488.LGA.ATL.230228.1205.0119.TFM,KLGA,KATL,2023-03-01 14:41:00,2023-03-01 14:49:00,DAL
418,ASH6015.IAD.LGA.230228.2140.0100.TFM,KIAD,KLGA,2023-03-01 22:39:00,2023-03-01 23:08:00,ASH
419,DAL563.DFW.LAX.230228.1200.0318.TFM,KDFW,KLAX,2023-03-01 15:26:00,2023-03-01 15:35:00,DAL
420,UAL591.SEA.EWR.230228.2140.0081.TFM,KSEA,KEWR,2023-03-02 02:26:00,2023-03-02 02:55:00,UAL
421,AAL1295.LGA.DCA.230228.2300.0270.TFM,KLGA,KDCA,2023-03-02 00:21:00,2023-03-02 00:22:00,AAL
422,RPA4302.BOS.JFK.230228.1310.0104.TFM,KBOS,KJFK,2023-03-01 14:25:00,2023-03-01 14:29:00,RPA
423,DAL695.BOS.ATL.230228.1050.0041.TFM,KBOS,KATL,2023-03-01 13:50:00,2023-03-01 14:02:00,DAL
424,RPA4365.BOS.JFK.230228.1910.0110.TFM,KBOS,KJFK,2023-03-01 20:12:00,2023-03-01 20:29:00,RPA
425,AAL472.DFW.DCA.230228.2300.0282.TFM,KDFW,KDCA,2023-03-02 02:36:00,2023-03-02 01:45:00,AAL
426,DAL2029.JFK.BOS.230301.0255.0086.TFM,KJFK,KBOS,2023-03-02 04:17:00,2023-03-02 04:10:00,DAL
427,RPA3437.DCA.EWR.230228.1805.0056.TFM,KDCA,KEWR,2023-03-01 19:38:00,2023-03-01 19:31:00,RPA
428,UAL2025.SFO.SEA.230228.2055.0145.TFM,KSFO,KSEA,2023-03-01 23:47:00,2023-03-01 23:07:00,UAL
429,RPA4486.DCA.JFK.230301.0055.0047.TFM,KDCA,KJFK,2023-03-02 02:32:00,2023-03-02 02:17:00,RPA
430,UAL2136.BOS.IAD.230301.0035.0041.TFM,KBOS,KIAD,2023-03-02 02:10:00,2023-03-02 02:20:00,UAL
431,DAL308.LAX.JFK.230228.1540.0033.TFM,KLAX,KJFK,2023-03-01 20:16:00,2023-03-01 20:59:00,DAL
432,GJS4443.EWR.DCA.230228.1400.0198.TFM,KEWR,KDCA,2023-03-01 15:13:00,2023-03-01 15:27:00,GJS
433,DAL1274.BWI.ATL.230228.1930.0095.TFM,KBWI,KATL,2023-03-01 21:15:00,2023-03-01 21:28:00,DAL
434,AAL2292.DFW.JFK.230228.2305.0091.TFM,KDFW,KJFK,2023-03-02 02:38:00,2023-03-02 02:33:00,AAL
435,AAL1376.BOS.LAX.230228.1315.0092.TFM,KBOS,KLAX,2023-03-01 20:39:00,2023-03-01 19:49:00,AAL
436,AAL2110.LAX.BOS.230228.1840.0146.TFM,KLAX,KBOS,2023-03-02 00:02:00,2023-03-02 00:05:00,AAL
437,GJS4442.DCA.EWR.230228.1835.0053.TFM,KDCA,KEWR,2023-03-01 19:45:00,2023-03-01 20:01:00,GJS
438,UAL1008.EWR.SFO.230228.2015.0112.TFM,KEWR,KSFO,2023-03-02 02:21:00,2023-03-02 02:29:00,UAL
439,GJS4560.DCA.EWR.230228.2005.0107.TFM,KDCA,KEWR,2023-03-01 21:57:00,2023-03-01 21:40:00,GJS
440,DAL661.ATL.BOS.230301.0325.0079.TFM,KATL,KBOS,2023-03-02 05:59:00,2023-03-02 05:57:00,DAL
441,AAL2532.LAX.DCA.230228.2140.0107.TFM,KLAX,KDCA,2023-03-02 02:26:00,2023-03-02 02:27:00,AAL
442,DAL2606.SFO.LAX.230301.0125.0098.TFM,KSFO,KLAX,2023-03-02 02:30:00,2023-03-02 02:58:00,DAL
443,SKW4876.SFO.LAX.230228.1945.0107.TFM,KSFO,KLAX,2023-03-01 20:53:00,2023-03-01 21:09:00,SKW
444,DAL425.BOS.LAX.230228.1225.0059.TFM,KBOS,KLAX,2023-03-01 19:34:00,2023-03-01 19:15:00,DAL
445,DAL721.SFO.ATL.230228.2140.0148.TFM,KSFO,KATL,2023-03-02 02:03:00,2023-03-02 02:10:00,DAL
446,AAL1077.DFW.LAX.230228.1500.0310.TFM,KDFW,KLAX,2023-03-01 19:51:00,2023-03-01 18:29:00,AAL
447,AAL2234.JFK.DFW.230228.1300.0178.TFM,KJFK,KDFW,2023-03-01 16:59:00,2023-03-01 17:08:00,AAL
448,DAL2776.ATL.EWR.230301.0325.0036.TFM,KATL,KEWR,2023-03-02 05:26:00,2023-03-02 05:26:00,DAL
449,AAL2003.DCA.LGA.230228.1900.0264.TFM,KDCA,KLGA,2023-03-01 20:00:00,2023-03-01 20:19:00,AAL
450,RPA4802.ATL.DCA.230228.2145.0131.TFM,KATL,KDCA,2023-03-01 23:22:00,2023-03-01 23:39:00,RPA
451,AAL2146.BOS.DCA.230228.1430.0164.TFM,KBOS,KDCA,2023-03-01 15:50:00,2023-03-01 16:15:00,AAL
452,DAL2310.SFO.SEA.230228.1425.0044.TFM,KSFO,KSEA,2023-03-01 16:52:00,2023-03-01 16:47:00,DAL
453,DAL983.DFW.ATL.230228.1300.0275.TFM,KDFW,KATL,2023-03-01 14:56:00,2023-03-01 15:09:00,DAL
454,UAL2060.IAD.BOS.230228.1745.0046.TFM,KIAD,KBOS,2023-03-01 18:57:00,2023-03-01 19:12:00,UAL
455,UAL1061.SEA.SFO.230301.0345.0066.TFM,KSEA,KSFO,2023-03-02 05:28:00,2023-03-02 05:55:00,UAL
456,DAL2294.ATL.BWI.230301.0325.0039.TFM,KATL,KBWI,2023-03-02 05:13:00,2023-03-02 05:10:00,DAL
457,DAL679.ATL.SEA.230301.1910.0124.TFM,KATL,KSEA,2023-03-03 00:45:00,2023-03-03 00:45:00,DAL
